Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,0.0435,0.0906,0.0854,0.08,0.0203,0.0254,0.0687,0.0439,0.0,0.0,0.0,0.0,0.0766,0.0562,0.0231,0.098,0.0138,0.015,0.018,0.014
PV_L23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L4AB,0.063,0.067,0.0425,0.00253,0.0409,0.0785,0.1293,0.0821,0.0,0.0,0.0,0.0,0.0516,0.0562,0.0231,0.098,0.011,0.012,0.015,0.0105
PV_L4AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L4AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L4AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L4C,0.0633,0.055,0.0149,0.00758,0.11993,0.0942,0.032,0.0185,0.0909,0.1385,0.11,0.0821,0.0179,0.0532,0.0208,0.1025,0.134,0.0367,0.1225,0.098
PV_L4C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L4C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L4C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L5,0.0328,0.0532,0.0208,0.1025,0.0265,0.0532,0.08208,0.1025,0.053,0.0532,0.06,0.1025,0.0747,0.2311,0.126,0.108,0.1239,0.1456,0.0518,0.0632
PV_L5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L6,0.0315,0.0158,0.0525,0.042,0.0735,0.0367,0.0725,0.098,0.106,0.093,0.12,0.168,0.0138,0.0456,0.0518,0.0632,0.0747,0.2311,0.126,0.108
PV_L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
